Mx,My,dx,dy
25,11,-1,-2
54,12,-1,-2
83,13,-1,-2
111,13,0,-2
140,14,1,-2
169,14,1,-2
198,14,1,-2
227,14,2,-2
256,14,2,-2
286,14,2,-2
315,14,1,-2
26,39,-1,-2
55,39,-1,-1
83,40,0,-1
112,40,0,0
140,41,0,-1
169,41,0,-2
198,41,1,-1
227,42,2,-3
256,42,2,-3
286,41,2,-2
315,41,1,-2
26,66,-1,-1
55,67,-1,-1
83,67,1,0
112,67,0,0
141,68,-1,-2
169,68,0,-1
198,68,1,-1
227,68,2,-1
256,68,2,-2
286,69,2,-2
315,68,2,-2
26,93,-1,-1
55,93,-1,-1
84,93,0,0
112,94,-2,-3
141,94,0,-4
169,94,2,-3
198,94,0,-1
228,94,1,-1
256,95,3,-2
286,95,2,-2
315,95,2,-2
26,120,0,-1
55,120,-2,0
84,120,0,-1
113,121,-4,-1
141,121,2,-1
170,121,3,-2
198,121,1,-2
228,121,1,-1
257,122,2,-2
286,122,3,-2
314,122,3,-1
26,147,-1,-1
55,147,0,-1
84,147,0,-1
113,147,-1,2
141,147,2,2
170,148,3,-1
199,148,6,1
228,148,1,-1
257,149,2,-2
286,149,3,-1
315,149,2,-1
26,174,-1,-1
55,174,0,-1
84,174,0,-1
113,174,0,1
142,174,0,3
170,175,1,-2
199,175,1,-1
228,175,2,-1
257,176,2,-1
287,176,2,-1
315,177,2,-1
26,201,-1,0
55,201,0,0
84,201,0,-1
113,201,0,-1
142,201,0,-1
170,202,1,-1
199,202,1,0
228,202,2,0
257,203,2,-1
287,203,2,0
316,205,1,-1
26,228,-1,0
56,228,-1,0
84,228,0,0
113,228,0,0
142,228,0,0
171,229,0,-1
200,229,1,0
229,229,1,0
258,231,3,0
288,232,2,-1
316,232,1,0
