X,Y,R,G,B
0,0,63,5,231
1,0,60,2,233
2,0,62,1,235
3,0,54,5,234
4,0,54,3,238
5,0,58,3,236
6,0,56,1,239
7,0,55,3,240
8,0,58,2,234
9,0,65,1,235
10,0,56,1,234
11,0,52,0,233
12,0,53,3,232
13,0,45,1,233
14,0,50,2,231
15,0,50,0,236
16,0,56,0,233
17,0,57,254,237
18,0,51,255,240
19,0,50,3,233
20,0,52,253,240
21,0,51,0,231
22,0,47,3,237
23,0,51,1,238
24,0,47,2,237
25,0,45,0,239
26,0,47,0,241
27,0,44,2,238
28,0,40,3,237
29,0,44,2,233
30,0,44,2,236
31,0,41,1,234
32,0,48,255,240
33,0,44,255,239
34,0,47,254,244
35,0,42,0,240
36,0,41,0,240
37,0,43,0,244
38,0,43,5,239
39,0,48,2,242
40,0,43,1,240
41,0,37,1,239
42,0,41,1,239
43,0,38,2,236
44,0,42,1,237
45,0,41,1,239
46,0,43,1,241
47,0,40,1,234
48,0,40,0,238
49,0,40,4,239
50,0,35,1,241
51,0,43,3,241
52,0,41,254,237
53,0,40,0,239
54,0,41,254,240
55,0,30,3,233
56,0,35,254,240
57,0,33,0,235
58,0,35,252,241
59,0,35,255,240
60,0,35,255,239
61,0,33,255,237
62,0,35,1,247
63,0,39,6,243
64,0,40,3,242
65,0,35,4,237
66,0,39,1,245
67,0,39,0,246
68,0,38,3,245
69,0,29,6,243
70,0,36,6,244
71,0,34,4,239
72,0,38,4,242
73,0,32,6,243
74,0,30,6,241
75,0,31,5,246
76,0,37,3,243
77,0,31,7,244
78,0,34,4,245
79,0,33,3,245
80,0,38,5,244
81,0,37,6,239
82,0,23,5,234
83,0,28,6,240
84,0,33,7,241
85,0,34,5,244
86,0,29,4,245
87,0,28,3,246
88,0,24,6,242
89,0,22,4,241
90,0,29,8,248
91,0,28,3,246
92,0,25,4,246
93,0,28,3,245
94,0,21,3,244
95,0,22,3,251
96,0,26,0,247
97,0,21,4,245
98,0,19,5,249
99,0,23,2,250
100,0,23,3,244
101,0,21,1,251
102,0,24,1,253
103,0,16,0,249
104,0,16,0,247
105,0,14,2,250
106,0,16,2,249
107,0,19,1,252
108,0,15,2,254
109,0,13,1,252
110,0,15,0,253
111,0,14,2,251
112,0,12,1,255
113,0,8,1,255
114,0,13,255,252
115,0,11,0,255
116,0,15,0,4
117,0,11,254,3
118,0,11,254,1
119,0,13,0,255
0,1,62,6,228
1,1,61,2,233
2,1,63,2,234
3,1,58,4,233
4,1,61,2,238
5,1,56,5,236
6,1,58,3,239
7,1,59,2,237
8,1,57,0,235
9,1,62,2,235
10,1,54,2,237
11,1,55,1,234
12,1,55,1,238
13,1,53,0,230
14,1,51,0,233
15,1,53,0,235
16,1,56,2,235
17,1,55,2,237
18,1,52,1,235
19,1,52,2,235
20,1,50,2,234
21,1,51,2,235
22,1,51,2,235
23,1,49,1,238
24,1,49,1,236
25,1,44,1,237
26,1,45,1,237
27,1,46,1,238
28,1,44,2,237
29,1,43,2,235
30,1,40,2,237
31,1,46,1,239
32,1,45,254,242
33,1,43,255,238
34,1,43,0,239
35,1,41,4,234
36,1,42,0,239
37,1,43,1,242
38,1,42,2,238
39,1,43,4,240
40,1,38,2,238
41,1,41,0,241
42,1,42,1,238
43,1,41,2,235
44,1,41,0,237
45,1,41,1,238
46,1,38,0,236
47,1,40,2,234
48,1,41,1,237
49,1,41,2,240
50,1,36,0,238
51,1,36,2,239
52,1,41,0,237
53,1,36,0,241
54,1,37,254,238
55,1,33,255,233
56,1,34,253,239
57,1,33,0,235
58,1,33,253,237
59,1,33,0,239
60,1,35,0,238
61,1,34,3,235
62,1,35,1,239
63,1,35,2,241
64,1,38,3,241
65,1,34,4,237
66,1,38,4,243
67,1,37,2,243
68,1,37,3,245
69,1,35,4,242
70,1,36,5,243
71,1,37,4,241
72,1,35,3,244
73,1,32,4,240
74,1,32,3,241
75,1,30,4,243
76,1,34,4,244
77,1,31,5,244
78,1,35,2,245
79,1,34,3,247
80,1,32,6,240
81,1,35,5,245
82,1,28,6,241
83,1,31,3,245
84,1,30,6,245
85,1,31,5,246
86,1,29,3,246
87,1,30,5,247
88,1,31,5,243
89,1,27,3,243
90,1,28,6,244
91,1,28,3,244
92,1,28,4,247
93,1,28,3,247
94,1,23,6,246
95,1,25,4,250
96,1,27,2,246
97,1,21,3,245
98,1,21,3,248
99,1,21,1,246
100,1,25,4,245
101,1,21,4,252
102,1,18,3,247
103,1,17,0,248
104,1,18,1,247
105,1,16,255,248
106,1,16,3,250
107,1,18,1,251
108,1,15,1,251
109,1,14,2,251
110,1,18,255,249
111,1,14,0,255
112,1,11,0,253
113,1,11,0,253
114,1,13,0,251
115,1,9,0,0
116,1,16,255,1
117,1,12,255,4
118,1,9,254,255
119,1,9,0,252
0,2,62,7,229
1,2,61,5,233
2,2,62,2,232
3,2,60,4,229
4,2,62,0,233
5,2,56,4,232
6,2,58,4,234
7,2,60,3,234
8,2,59,3,238
9,2,60,1,235
10,2,54,1,239
11,2,55,1,239
12,2,53,0,239
13,2,57,1,237
14,2,53,3,235
15,2,56,2,236
16,2,52,3,237
17,2,53,0,237
18,2,46,2,232
19,2,51,2,238
20,2,48,2,234
21,2,51,255,237
22,2,54,0,236
23,2,49,2,238
24,2,47,2,236
25,2,46,1,237
26,2,47,1,238
27,2,44,1,238
28,2,45,1,234
29,2,47,2,237
30,2,45,0,240
31,2,49,2,236
32,2,43,2,240
33,2,42,2,235
34,2,45,1,238
35,2,42,4,238
36,2,46,1,240
37,2,41,0,240
38,2,43,1,240
39,2,44,3,238
40,2,44,255,240
41,2,43,2,240
42,2,44,2,241
43,2,42,2,238
44,2,45,1,240
45,2,41,1,239
46,2,41,0,240
47,2,39,2,238
48,2,42,2,240
49,2,38,2,239
50,2,37,255,236
51,2,37,1,237
52,2,40,0,236
53,2,36,254,240
54,2,32,0,238
55,2,35,255,236
56,2,34,254,238
57,2,30,0,237
58,2,32,254,238
59,2,37,255,239
60,2,36,1,241
